lemma,count
jason,89044
sooner,89012
forced,89001
bright,88976
button,88966
cheese,88938
social,88919
speaks,88701
load,88689
paint,88580
assume,88547
dragon,88547
enter,88541
surely,88486
introduce,88430
expected,88423
diamond,88345
grade,88330
community,88328
worker,88276
recently,88162
hunt,88112
square,88096
handsome,88089
personally,88009
harder,88008
value,87893
neighbor,87708
permission,87673
slave,87365
matt,87357
rate,87260
likely,87221
hook,87206
spell,87045
reporter,86981
piss,86847
santa,86796
arthur,86675
returned,86568
belief,86565
spy,86499
stomach,86479
chick,86281
shape,86276
rush,86262
narrator,86244
assistant,86206
zero,86058
chip,85963
showing,85959
device,85760
silver,85748
switch,85693
fortune,85628
reality,85606
rent,85571
silence,85564
dealing,85511
beast,85491
familiar,85488
rough,85454
slowly,85347
jean,85241
toilet,85150
tower,85019
legal,84971
downstairs,84948
chain,84759
ill,84752
knocking,84657
whistle,84524
ted,84491
jerk,84401
penny,84380
dean,84376
fought,84363
skill,84344
trace,84283
rome,84283
discovered,84221
desire,84145
italian,84128
cancer,84070
foreign,84007
score,83936
bike,83916
wire,83696
tour,83693
vampire,83588
lower,83242
complicated,83225
circle,83165
dna,83074
gasping,83017
chase,82991
lad,82989
bond,82975
chuckling,82831
disease,82726
football,82620
growing,82615
hired,82402
hidden,82300
grew,82232
easily,82228
burning,82126
clark,82034
snake,82024
filled,81948
higher,81834
chatter,81816
cow,81788
revenge,81728
louis,81701
bless,81663
attacked,81661
journey,81568
carter,81497
citizen,81470
chocolate,81465
gut,81403
caused,81289
chuck,81247
grandfather,81162
effort,81111
boom,81092
jacket,81083
holiday,81083
senator,81023
ate,80938
terrorist,80872
mood,80855
divorce,80773
punch,80751
loser,80534
bug,80528
royal,80514
boot,80390
including,80378
buying,80367
washington,80361
insurance,80341
basically,80166
mirror,80165
grant,80148
goodness,80088
planned,80065
talent,80027
medium,79963
object,79813
led,79784
hunter,79668
warrior,79642
bread,79618
obvious,79612
deliver,79607
invite,79596
telephone,79521
actor,79487
lucy,79396
pie,79375
regular,79339
uniform,79242
mystery,79214
sudden,79194
smith,79127
dy,79052
boring,79044
bath,78884
dating,78858
picking,78856
yell,78854
winner,78808
manage,78724
firm,78691
success,78640
exciting,78634
poison,78339
mercy,78333
luke,78300
vision,78286
proper,78242
metal,78228
elevator,78216
ruined,78203
yellow,78170
happiness,78096
neighborhood,78090
christian,78076
toy,78026
refuse,78024
fed,78016
sacrifice,77854
mentioned,77766
explosion,77751
knowledge,77744
scoff,77700
period,77561
bleeding,77545
edge,77448
tail,77397
victory,77247
expert,77245
pleased,77222
cheap,77157
watched,77008
appointment,76982
burned,76980
dozen,76972
belongs,76955
changing,76916
newspaper,76915
expensive,76895
nightmare,76710
shift,76503
magazine,76398
iron,76393
section,76346
avoid,76344
shout,76296
checking,76074
carrying,76007
tall,75951
freeze,75949
positive,75861
sexy,75803
governor,75800
fixed,75679
maria,75654
scientist,75612
range,75549
ability,75521
clue,75457
march,75450
traffic,75439
odd,75383
reached,75311
protection,75250
monday,75194
demand,75168
license,75164
laid,75131
grave,75130
pizza,75066
rescue,74985
eventually,74970
desert,74940
nerve,74930
scary,74861
romantic,74746
awake,74745
screwed,74688
particular,74630
sat,74628
shock,74567
depends,74369
china,74368
