lemma,count
serve,112935
teeth,112891
several,112875
freedom,112815
center,112771
national,112698
lab,112630
program,112466
nor,112424
meat,112297
games,112192
truly,112180
travel,112020
whom,111918
signal,111814
motherfucker,111768
shows,111752
aw,111399
although,111327
planning,111124
investigation,110791
nowhere,110713
goin',110655
records,110630
bullet,110398
beeping,110385
science,110242
release,110163
belong,110161
papa,110098
opens,110092
destroyed,110055
credit,110045
russian,109957
bodies,109476
twenty,109224
paying,109178
dancing,109083
gate,108910
nearly,108854
practice,108658
dressed,108592
martin,108431
career,108363
health,108299
post,108128
spanish,108117
natural,108091
walter,107985
groaning,107860
onto,107763
chair,107690
market,107408
remain,107335
alarm,107320
noticed,107279
restaurant,107230
minister,107071
milk,107071
distance,106946
fake,106882
criminal,106842
letting,106765
matters,106603
cake,106540
understood,106504
aware,106344
nuts,106301
discuss,106251
prepare,106136
turning,106015
among,106003
fill,105955
grandma,105942
finding,105932
mountain,105892
coach,105874
brown,105854
pray,105771
prepared,105645
horrible,105606
al,105560
ugly,105446
bucks,105438
anna,105428
bro,105088
doin',105050
unit,104993
brave,104982
concerned,104913
cream,104879
bright,104826
ends,104796
pretend,104563
research,104533
condition,104438
heat,104379
proof,104340
arrested,104264
honestly,104227
purpose,104223
n,104201
tie,104186
project,104049
daniel,103737
original,103666
suicide,103658
hurts,103639
view,103630
manager,103350
mail,103287
perfectly,103099
suggest,103036
nurse,102945
universe,102833
incredible,102765
student,102660
kim,102637
meaning,102623
recognize,102603
birds,102396
towards,102380
soft,102369
ours,102331
desk,102169
heading,102131
ticket,102117
vote,102079
cards,101874
defense,101837
kevin,101809
scott,101718
headed,101685
rachel,101666
draw,101605
comfortable,101514
oil,101371
focus,101320
jerry,101215
afford,101211
yelling,101178
bite,101161
stolen,101136
pal,101115
ideas,100957
male,100792
ugh,100766
loose,100636
insane,100534
screw,100450
female,100166
block,100007
amy,99808
believed,99663
re,99538
eric,99517
fantastic,99490
ohh,99419
forgotten,99410
opening,99363
guest,99346
doors,99342
