lemma,count
ourselves,148655
twice,148563
san,148393
innocent,147859
brothers,147812
final,147658
duty,147656
majesty,147619
practice,147446
further,147402
mommy,147162
blind,147067
pressure,146878
band,146811
crew,146789
london,146745
i.,146342
bigger,146064
paris,146033
neck,145972
pound,145893
claim,145822
memory,145693
upstairs,145664
nervous,145131
themselves,144954
shirt,144933
plant,144618
sarah,144428
whisper,144412
damage,144241
ways,144211
leg,143988
commander,143895
bridge,143639
approach,143581
result,143311
grace,143300
village,143237
billy,143208
deliver,143207
feelings,143201
apologize,143160
van,143051
favorite,142749
focus,142503
crack,142162
kitchen,142095
bang,141939
prince,141901
weekend,141844
legs,141638
sight,141513
devil,141400
apart,141221
convince,141217
lee,141208
skin,141124
doc,141063
guilty,140348
include,140152
nurse,140132
suddenly,139990
nut,139894
herself,139729
whoo,139421
awesome,139415
sweetheart,139376
above,138953
danger,138786
chicken,138726
aunt,138132
accord,137620
fresh,137612
recognize,137500
johnny,137414
military,137386
video,136796
cup,136763
ex,136626
medical,136423
add,136392
request,136163
extra,136130
page,135943
east,135702
richard,135687
energy,135675
tight,135619
commit,135604
closer,135435
indeed,135344
heavy,135251
unite,135247
breakfast,135048
signal,134970
beach,134894
faith,134829
gay,134779
apparently,134194
lift,134119
bathroom,134117
otherwise,134102
folks,133917
pig,133806
click,133550
tommy,133545
pregnant,133507
madam,133439
refuse,133347
director,133235
dry,133131
earlier,133053
knife,132476
size,132424
term,132324
hill,132183
whoever,132102
fan,132029
jane,131848
you're,131814
steve,131719
wild,131502
fake,131247
ma,130926
bottom,130437
emergency,130343
however,130069
beyond,129881
jake,129764
rob,129570
super,129422
alarm,129415
ridiculous,129315
trade,129131
mail,128902
faster,128767
market,128576
awful,128394
m,128284
discover,127888
nature,127836
animal,127823
er,127636
conversation,127529
chair,127470
laughter,127318
stage,127274
view,127233
excellent,127230
project,127111
language,127030
introduce,126858
tape,126809
itself,126714
roger,126620
asleep,126612
plenty,126483
da,126395
swim,126185
shame,126155
driver,126147
poison,126147
fbi,126137
aye,125954
ms.,125868
hall,125757
interview,125476
justice,125340
german,125136
princess,125124
client,125104
don,124890
heat,124634
silly,124632
center,124588
responsible,124437
simply,124428
dr,123727
cheat,123649
shock,123623
ought,123483
hm,123401
common,123395
local,123330
hook,123306
bobby,123221
cake,123218
divorce,123095
character,123091
main,123045
access,122782
pardon,122717
remove,122678
plus,122622
necessary,122514
eddie,122420
angel,122198
leader,121987
sheriff,121812
whistle,121671
due,121619
coach,121583
dump,121233
large,121118
indistinct,121115
chris,121095
threaten,121001
bleed,120539
powerful,120466
charles,120326
possibly,120167
breath,120161
cars,120100
wave,120066
opportunity,119713
grant,119443
operation,119328
animals,119269
credit,119211
strength,119203
monster,118794
clearly,118667
purpose,118403
switch,118309
challenge,118305
somehow,118177
slip,118148
outta,118137
loud,118115
pocket,118104
prefer,117978
stories,117932
cough,117619
design,117547
famous,117258
depend,117015
y,116879
beauty,116451
process,116430
adam,116351
spread,116349
horn,116133
fellow,116049
wing,115995
repeat,115959
cousin,115873
sweetie,115686
rush,115662
minister,115611
career,115407
robert,115385
pal,115352
advice,115340
drag,115337
hardly,115242
sword,115076
greatest,115045
embarrass,114900
bust,114897
subject,114160
connect,114119
chinese,114063
b,113957
trial,113395
noise,113292
dumb,113286
brown,113072
confirm,113069
teeth,112891
several,112875
freedom,112815
research,112793
national,112698
lab,112630
nor,112424
meat,112297
shower,112291
split,112261
truly,112180
rip,112118
model,112068
whom,111918
print,111913
rent,111905
tap,111843
motherfucker,111768
milk,111749
tip,111722
aw,111399
distance,111329
although,111327
storm,111300
investigation,110791
nowhere,110713
goin',110655
charm,110420
bullet,110398
gang,110348
science,110242
papa,110098
russian,109957
celebrate,109387
punch,109375
cream,109361
twenty,109224
seek,109101
gather,109081
nearly,108854
effect,108754
confuse,108554
regret,108527
martin,108431
mix,108401
shape,108378
health,108299
wire,108125
spanish,108117
natural,108091
walter,107985
onto,107763
map,107691
growl,107604
spring,107442
attempt,107285
restaurant,107230
spy,107109
avoid,106963
criminal,106842
proof,106539
provide,106465
contract,106405
aware,106344
alien,106235
snow,106228
oil,106182
solve,106012
among,106003
grandma,105942
mountain,105892
older,105827
wheel,105693
horrible,105606
al,105560
anna,105428
biggest,105363
easier,105342
buzz,105156
bro,105088
doin',105050
unit,104993
season,104422
honestly,104227
n,104201
harm,104003
trace,103842
source,103837
daniel,103737
original,103666
suicide,103658
earn,103512
sob,103356
manager,103350
coat,103133
perfectly,103099
afford,103084
weak,103065
image,103003
pool,102896
universe,102833
incredible,102765
student,102660
kim,102637
sin,102625
feed,102604
towards,102380
ours,102331
score,102325
desk,102169
loose,102012
spell,102007
defense,101837
kevin,101809
scott,101718
monkey,101670
rachel,101666
comfortable,101514
garden,101411
jerry,101215
sacrifice,101212
sport,101060
supply,100963
ideas,100957
male,100792
ugh,100766
farm,100567
insane,100534
require,100336
roof,100260
female,100166
weight,100024
ugly,99962
march,99907
amy,99808
total,99662
re,99538
eric,99517
fantastic,99490
rescue,99450
ohh,99419
guest,99346
doors,99342
transfer,99335
andy,99148
ryan,99083
climb,99067
demand,98976
collect,98973
clock,98955
deny,98850
inspector,98792
tongue,98472
safety,98396
brave,98390
photo,98366
separate,98196
seal,98179
kate,98036
england,97858
babe,97719
william,97698
bark,97654
style,97619
soft,97604
opinion,97387
brilliant,97135
castle,97124
limit,97120
pilot,97045
curse,96994
pair,96981
thomas,96747
staff,96710
heh,96493
bug,96422
lately,96306
mayor,96261
borrow,96191
dan,96069
kidnap,96060
quarter,95832
defend,95798
unfortunately,95777
brian,95641
whore,95605
shadow,95346
ed,95223
schedule,95218
bath,95076
pete,95074
bond,94970
movies,94864
nope,94848
sunday,94668
lower,94531
cure,94512
shoulder,94482
value,94412
square,94385
fancy,94376
butt,94335
data,94320
sugar,94318
intend,94299
